Rank,Player,Team,Matches Played,Elims,Avg Dmg Dealt,Damage Dealt,Assists,Knocks,Headshots,KD Ratio,Max Elim Range,Survival Time,Damage Received,Healing Done,Deaths,Smokes Used,Grenades Used,Grenade Elims,Airdrops Taken,Distance Driven,Distance Walked,Distance Traveled,Stage
43.0,Firen,RRQ RYU,6.0,4.0,142.0,852.0,2.0,6.0,1.0,0.67,281.0,5508.0,1077.0,347.0,6.0,4.0,1.0,0.0,0.0,29565.0,7464.0,37029.0,Group B
44.0,SAFG,Geekay Esports,6.0,4.0,130.0,783.0,3.0,3.0,1.0,0.67,372.0,6217.0,951.0,619.0,5.0,11.0,7.0,0.0,0.0,33135.0,7650.0,40785.0,Group B
45.0,Soulless,ULF Esports,6.0,3.0,287.0,1722.0,5.0,7.0,1.0,0.5,94.0,7535.0,2146.0,1094.0,5.0,12.0,19.0,1.0,0.0,33281.0,8969.0,42250.0,Group B
46.0,KEVIN,Geekay Esports,6.0,3.0,266.0,1596.0,6.0,6.0,1.0,0.5,168.0,6682.0,1225.0,783.0,5.0,17.0,12.0,0.0,0.0,39368.0,8870.0,48238.0,Group B
47.0,Okta,BOOM Esports,6.0,3.0,248.0,1489.0,4.0,4.0,1.0,0.5,102.0,7193.0,2003.0,1363.0,6.0,13.0,10.0,0.0,3.0,52661.0,8052.0,60713.0,Group B
48.0,SaTaN,Nigma Galaxy,6.0,3.0,217.0,1303.0,2.0,6.0,1.0,0.5,150.0,7181.0,1260.0,799.0,6.0,1.0,2.0,0.0,1.0,35542.0,11764.0,47306.0,Group B
49.0,Sanju,BOOM Esports,6.0,3.0,206.0,1236.0,2.0,4.0,0.0,0.5,162.0,7823.0,1370.0,806.0,6.0,16.0,4.0,0.0,0.0,37778.0,9915.0,47693.0,Group B
50.0,Lapar,RRQ RYU,6.0,3.0,143.0,862.0,4.0,3.0,0.0,0.5,66.0,5478.0,998.0,429.0,6.0,14.0,4.0,1.0,0.0,32447.0,7774.0,40221.0,Group B
51.0,RuLzSR,Trained to Kill,6.0,3.0,135.0,814.0,1.0,2.0,1.0,0.5,108.0,6892.0,1393.0,738.0,6.0,9.0,0.0,0.0,0.0,44341.0,7491.0,51832.0,Group B
52.0,Reverb,XForce Rejects,6.0,3.0,134.0,804.0,2.0,6.0,1.0,0.5,161.0,5961.0,1382.0,489.0,6.0,8.0,2.0,0.0,0.0,31198.0,8265.0,39463.0,Group B
